,hippieName
PP1B_HUMAN,1
ADCY3_HUMAN,1
BMS1_HUMAN,1
PLTP_HUMAN,1
L12R1_HUMAN,1
ZN680_HUMAN,1
DGKA_HUMAN,1
LRC20_HUMAN,1
M3K10_HUMAN,1
KDIS_HUMAN,1
CQ10B_HUMAN,1
FA73A_HUMAN,1
CI072_HUMAN,1
TXND6_HUMAN,1
PTPRR_HUMAN,1
PP4R2_HUMAN,1
ARBK2_HUMAN,1
RTF1_HUMAN,1
NRIP1_HUMAN,1
TRI32_HUMAN,1
TBL1Y_HUMAN,1
WWC2_HUMAN,1
YQ023_HUMAN,1
KCC1D_HUMAN,1
MCCA_HUMAN,1
DCAF4_HUMAN,1
DIRA3_HUMAN,1
AAK1_HUMAN,1
HXK4_HUMAN,1
MASP2_HUMAN,1
MTU1_HUMAN,1
KC1D_HUMAN,1
FCSD2_HUMAN,1
DOA_HUMAN,1
ACM5_HUMAN,1
CNTP2_HUMAN,1
H2B1N_HUMAN,1
ABCC9_HUMAN,1
CP093_HUMAN,1
ZN517_HUMAN,1
MESD_HUMAN,1
LRRC6_HUMAN,1
ZDHC7_HUMAN,1
APT_HUMAN,1
NDUS2_HUMAN,1
SBNO1_HUMAN,1
AR6P1_HUMAN,1
SYF2_HUMAN,1
K1671_HUMAN,1
SAS6_HUMAN,1
LBR_HUMAN,1
TMM8A_HUMAN,1
PRR19_HUMAN,1
AGR3_HUMAN,1
CROC4_HUMAN,1
IPO8_HUMAN,1
TRI26_HUMAN,1
MCTP2_HUMAN,1
S47A1_HUMAN,1
AB1IP_HUMAN,1
MATN2_HUMAN,1
MEX3C_HUMAN,1
TPST2_HUMAN,1
U17L1_HUMAN,1
FAM5B_HUMAN,1
SFSWA_HUMAN,1
FSD1_HUMAN,1
NP1L3_HUMAN,1
MEX3D_HUMAN,1
EPN4_HUMAN,1
NDUC2_HUMAN,1
C11B1_HUMAN,1
SPRR3_HUMAN,1
F176C_HUMAN,1
ZN653_HUMAN,1
TCAL6_HUMAN,1
IGS10_HUMAN,1
IHH_HUMAN,1
DTBP1_HUMAN,1
ASHWN_HUMAN,1
EPHA8_HUMAN,1
MTMR8_HUMAN,1
GFI1_HUMAN,1
RHG17_HUMAN,1
SETD5_HUMAN,1
NOE3_HUMAN,1
S39A3_HUMAN,1
PA2GE_HUMAN,1
ASB14_HUMAN,1
MOGT3_HUMAN,1
UBP35_HUMAN,1
MPPA_HUMAN,1
KCNA1_HUMAN,1
TMA16_HUMAN,1
